2023-6-7 2023-6-8 2023-7-5 2023-7-8 2023-7-9 2023-7-10
A'Mon Lane	['-', '-', '-', '-', '-', '88']	['-', '-', '-', '-', '-', '90']	['-', '-', '-', '-', '-', '81']	['-', '-', '-', '-', '-', '5.8']	CB	Alabaster	AL	True	Auburn Tigers	
A.J. Pugliano	['88', '88', '88', '88', '88', '88']	['90', '90', '90', '90', '90', '90']	['79', '79', '79', '79', '79', '79']	['5.8', '5.8', '5.0', '5.8', '5.8', '5.8']	TE	Medford	OR	True	Oregon Ducks	
AJ Surace	['-', '-', '88', '88', '88', '89']	['-', '-', '88', '88', '88', '88']	['-', '-', '77', '77', '77', '77']	['-', '-', '5.0', '5.6', '5.6', '5.6']	QB	Trenton	NJ	True	Rutgers Scarlet Knights	
Aaris Bethea	['-', '-', '88', '88', '88', '87']	['-', '-', '87', '87', '87', '87']	['-', '-', '77', '77', '77', '77']	['-', '-', '5.0', '5.6', '5.6', '5.6']	DL	Brooklyn	NY	True	Rutgers Scarlet Knights	
Aaron Butler	['91', '91', '91', '91', '91', '91']	['93', '93', '93', '93', '93', '93']	['84', '84', '84', '84', '84', '84']	['5.8', '5.8', '5.0', '5.9', '5.9', '5.9']	ATH	Calabasas	CA	True	Colorado Buffaloes	
Aaron Chiles	['91', '91', '91', '91', '91', '91']	['92', '92', '92', '92', '92', '92']	['85', '85', '85', '85', '85', '85']	['5.9', '5.9', '5.0', '5.9', '5.9', '5.9']	LB	Olney	MD	False	False	
Aaron Flowers	['93', '93', '93', '93', '93', '93']	['92', '92', '92', '92', '92', '92']	['83', '83', '83', '83', '83', '83']	['5.8', '5.8', '5.0', '5.8', '5.8', '5.8']	S	Forney	TX	True	Oregon Ducks	
Aaron Philo	['-', '-', '85', '85', '85', '87']	['-', '-', '87', '87', '87', '87']	['-', '-', '76', '76', '76', '76']	['-', '-', '5.0', '5.7', '5.7', '5.7']	QB	Bogart	GA	True	Georgia Tech Yellow Jackets	
Aaron Scott Jr.	['97', '97', '97', '97', '97', '96']	['96', '96', '96', '96', '96', '96']	['86', '86', '86', '86', '86', '86']	['5.8', '5.8', '5.0', '5.8', '5.8', '5.8']	CB	Springfield	OH	False	False	
Aaron Travis	['-', '-', '87', '87', '87', '87']	['-', '-', '85', '85', '85', '85']	['-', '-', '-', '-', '-', '-']	['-', '-', '5.0', '5.7', '5.7', '5.7']	DL	Grenada	MS	True	Southern Miss Golden Eagles	
Aba Selm	['-', '-', '90', '90', '90', '90']	['-', '-', '87', '87', '87', '87']	['-', '-', '77', '77', '77', '77']	['-', '-', '5.0', '5.6', '5.6', '5.6']	IOL	Independence	KY	True	Kentucky Wildcats	
Adam Kissayi	['89', '89', '89', '89', '89', '89']	['89', '89', '89', '89', '89', '89']	['-', '-', '77', '77', '77', '77']	['-', '-', '5.0', '5.6', '5.6', '5.6']	EDGE	Palm Bay	FL	False	False	
Adarius Hayes	['93', '93', '93', '93', '93', '93']	['93', '93', '93', '93', '93', '93']	['85', '85', '84', '84', '84', '84']	['5.9', '5.9', '6.0', '6.0', '6.0', '6.0']	LB	Largo	FL	True	Florida Gators	
Adedamola Ajani	['-', '-', '87', '87', '87', '87']	['-', '-', '87', '87', '87', '87']	['-', '-', '-', '-', '-', '-']	['-', '-', '5.0', '5.6', '5.6', '5.6']	IOL	Indianapolis	IN	True	Indiana Hoosiers	
Adrian Laing	['-', '-', '89', '89', '89', '88']	['-', '-', '86', '86', '86', '86']	['-', '-', '-', '-', '-', '-']	['-', '-', '-', '-', '-', '-']	CB	Paramus	NJ	False	False	
Adrian Lewis	['-', '-', '-', '87', '87', '87']	['-', '-', '-', '-', '-', '-']	['-', '-', '-', '79', '79', '79']	['-', '-', '-', '-', '-', '-']	IOL	Fort Worth	TX	False	False	
Adrian Oratokhai	['-', '-', '-', '87', '87', '87']	['-', '-', '-', '-', '-', '-']	['-', '-', '-', '77', '77', '77']	['-', '-', '-', '-', '-', '-']	IOL	Austin	TX	False	False	
Aeryn Hampton	['-', '-', '-', '-', '92', '92']	['-', '-', '-', '-', '90', '90']	['-', '-', '-', '-', '83', '83']	['-', '-', '-', '-', '5.9', '5.9']	WR	Carthage	TX	False	False	
Aeryn Hampton	['-', '-', '92', '92', '92', '92']	['-', '-', '90', '90', '90', '90']	['-', '-', '83', '83', '83', '83']	['-', '-', '5.0', '5.9', '5.9', '5.9']	WR	Daingerfield	TX	False	False	
Ahkhari Johnson	['-', '-', '88', '88', '88', '88']	['-', '-', '86', '86', '86', '86']	['-', '-', '76', '76', '76', '76']	['-', '-', '5.0', '5.7', '5.7', '5.7']	ATH	Texarkana	TX	True	Arkansas Razorbacks	
Ahmad Breaux	['-', '-', '88', '88', '88', '88']	['-', '-', '87', '87', '87', '87']	['-', '-', '77', '77', '77', '77']	['-', '-', '5.0', '5.7', '5.7', '5.7']	EDGE	Ruston	LA	True	Lsu Tigers	
Aidan Banfield	['-', '-', '-', '88', '88', '88']	['-', '-', '-', '87', '87', '87']	['-', '-', '-', '79', '79', '79']	['-', '-', '-', '5.0', '5.5', '5.5']	IOL	Alpharetta	GA	True	North Carolina Tar Heels	
Aidan Glover	['-', '-', '89', '89', '89', '89']	['-', '-', '86', '86', '86', '86']	['-', '-', '76', '76', '76', '76']	['-', '-', '5.0', '5.7', '5.7', '5.7']	QB	Collierville	TN	True	Missouri Tigers	
Aidan Lynch	['-', '-', '87', '87', '87', '87']	['-', '-', '87', '87', '87', '87']	['-', '-', '-', '-', '-', '-']	['-', '-', '5.0', '5.7', '5.7', '5.7']	OT	Flanders	NJ	True	Virginia Tech Hokies	
Air Noland	['95', '95', '95', '95', '95', '95']	['95', '95', '95', '95', '95', '95']	['86', '86', '87', '87', '87', '87']	['5.8', '5.8', '5.0', '5.9', '5.9', '5.9']	QB	Fairburn	GA	True	Ohio State Buckeyes	
Albert Smith	['-', '-', '-', '88', '88', '88']	['-', '-', '-', '85', '85', '85']	['-', '-', '-', '76', '76', '76']	['-', '-', '-', '5.0', '5.6', '5.6']	LB	Ponchatoula	LA	True	Arizona State Sun Devils	
Alex Foster	['-', '-', '89', '89', '89', '89']	['-', '-', '85', '85', '85', '85']	['-', '-', '-', '-', '-', '-']	['-', '-', '5.0', '5.6', '5.6', '5.6']	DL	Greenville	MS	True	Baylor Bears	
Alex January	['-', '-', '91', '91', '91', '91']	['-', '-', '87', '87', '87', '87']	['-', '-', '78', '78', '78', '78']	['-', '-', '5.0', '5.7', '5.7', '5.7']	DL	Duncanville	TX	True	Texas Longhorns	
Alex Taylor	['89', '89', '89', '89', '89', '89']	['91', '91', '91', '91', '91', '91']	['78', '78', '78', '78', '78', '78']	['5.8', '5.8', '5.0', '5.8', '5.8', '5.8']	WR	Greensboro	NC	False	False	
Allen Bryant	['-', '-', '89', '89', '89', '89']	['-', '-', '85', '85', '85', '85']	['-', '-', '76', '76', '76', '76']	['-', '-', '5.0', '5.6', '5.6', '5.6']	CB	Fort Lauderdale	FL	True	Pittsburgh Panthers	
Amare Sanders	['-', '-', '89', '89', '89', '88']	['-', '-', '86', '86', '86', '86']	['-', '-', '-', '-', '-', '-']	['-', '-', '5.0', '5.7', '5.7', '5.7']	CB	Miami	FL	False	False	
Amari Jefferson	['90', '90', '90', '90', '90', '93']	['89', '89', '89', '89', '89', '89']	['82', '82', '81', '81', '81', '81']	['5.8', '5.8', '5.0', '5.8', '5.8', '5.8']	WR	Chattanooga	TN	False	False	
Amaris Williams	['88', '88', '88', '88', '88', '89']	['93', '93', '93', '93', '93', '93']	['81', '81', '81', '81', '81', '81']	['5.8', '5.8', '5.0', '5.9', '5.9', '5.9']	DL	Clinton	NC	False	False	
Amir Jackson	['92', '92', '92', '92', '92', '92']	['90', '90', '90', '90', '90', '90']	['84', '84', '84', '84', '84', '84']	['5.9', '5.9', '5.0', '5.9', '5.9', '5.9']	TE	Portal	GA	False	False	
Amontrae Bradford	['-', '-', '87', '87', '87', '88']	['-', '-', '86', '86', '86', '86']	['-', '-', '-', '-', '-', '-']	['-', '-', '-', '-', '-', '-']	EDGE	Statesboro	GA	False	False	
Ananias Walker	['-', '-', '88', '88', '88', '87']	['-', '-', '88', '88', '88', '88']	['-', '-', '77', '77', '77', '77']	['-', '-', '5.0', '5.6', '5.6', '5.6']	ATH	Rohnert Park	CA	False	False	
Andrew Dennis	['-', '-', '87', '87', '87', '88']	['-', '-', '90', '90', '90', '90']	['-', '-', '78', '78', '78', '78']	['-', '-', '5.0', '5.7', '5.7', '5.7']	OT	Mount Pleasant	MI	True	Michigan State Spartans	
Andrew Hines III	['-', '-', '88', '88', '88', '87']	['-', '-', '88', '88', '88', '88']	['-', '-', '80', '80', '80', '80']	['-', '-', '5.0', '5.7', '5.7', '5.7']	LB	Atlanta	GA	True	Wake Forest Demon Deacons	
Andrew Rosinski	['-', '-', '88', '88', '88', '87']	['-', '-', '88', '88', '88', '88']	['-', '-', '79', '79', '79', '79']	['-', '-', '5.0', '5.7', '5.7', '5.7']	OT	Ball Ground	GA	True	North Carolina Tar Heels	
